19	420722
38	36522
57	9846
76	6577
95	3562
114	3435
133	1958
152	1901
171	67577
190	1334
209	908
228	931
247	625
266	580
285	468
304	410
323	584
342	325
361	225
380	241
399	210
418	168
437	141
456	172
475	101
494	115
513	107
532	139
551	79
570	286
589	42
608	77
627	1243
646	50
665	11121
684	2853
703	37
722	33
741	41
760	6546
779	22
798	27965
817	22
836	45
855	22
874	14
893	22
912	5198
931	17
950	19
969	10
988	15
1007	25
1026	18
1045	125
1064	70
1083	4
1102	4
1121	4
1140	14
1159	3
1178	6
1197	13
1216	7
1235	7
1254	64
1273	4
1292	9
1311	7
1330	24
1349	2
1368	11
1387	4
1406	3
1425	4
1444	5
1463	8
1482	5
1501	8
1520	5
1539	4
1558	10
1577	4
1596	6
1615	3
1634	4
1653	2
1672	11
1691	2
1710	2
1729	2
1748	4
1767	5
1786	2
1805	3
1824	3
1862	27
1881	1
1900	4
1919	3
1938	5
1957	3
1976	1
1995	4
2014	2
2071	4
2090	4
2109	1
2128	37
2147	4
2166	5
2185	2
2223	3
2242	2
2261	5
2280	5
2299	6
2318	1
2356	1
2375	1
2394	2
2432	3
2470	3
2508	6
2527	1
2546	2
2565	2
2584	3
2603	3
2641	1
2660	4
2698	2
2717	1
2736	2
2774	1
2793	3
2831	1
2850	1
2869	1
2888	1
2907	2
2926	3
2964	1
3021	1
3040	2
3059	1
3116	2
3173	1
3192	1
3211	2
3230	2
3287	1
3344	1
3363	7
3420	3
3496	3
3553	1
3591	3
3610	1
3667	1
3724	1
3743	1
3762	3
3800	1
3857	1
3952	1
3971	1
4104	2
4123	1
4142	1
4161	1
4180	3
4237	1
4275	1
4294	1
4389	2
4427	1
4522	1
4560	1
4883	1
5130	1
5149	1
5377	1
5491	1
5586	1
5624	1
5928	1
5985	1
6042	1
6080	1
6099	1
7030	1
7258	1
7391	1
7448	6
7600	2
7866	1
8987	1
9120	1
9348	1
10051	1
10089	1
10241	1
11476	1
11970	1
12103	1
12236	2
12768	2
15067	1
15884	1
16112	1
16359	1
17632	1
18240	1
21698	1
23807	1
23959	1
36480	1
70528	1
73815	1
91314	1
101365	1
136990	1
175674	1
1	8950222
20	252513
39	29463
58	13293
77	4783
96	5938
115	2615
134	2082
153	1649
172	76984
191	1041
